p,p-value
0.0,0.0
0.01,4.91829455496e-31
0.02,2.31932336818e-25
0.03,4.61994007119e-22
0.04,9.80775777506e-20
0.05,6.10246722628e-18
0.06,1.74636204354e-16
0.07,2.92307183565e-15
0.08,3.30312400761e-14
0.09,2.7642308639e-13
0.1,1.82482794081e-12
0.11,9.9410541356e-12
0.12,4.62007446664e-11
0.13,1.87861231675e-10
0.14,6.81582218347e-10
0.15,2.24101566745e-09
0.16,6.76173912469e-09
0.17,1.89150361512e-08
0.18,4.94736371041e-08
0.19,1.21854354588e-07
0.2,2.84324725338e-07
0.21,6.31708330672e-07
0.22,1.34232184457e-06
0.23,2.73834154989e-06
0.24,5.38082846749e-06
0.25,1.02141569483e-05
0.26,1.87783995969e-05
0.27,3.35119988213e-05
0.28,5.81703374884e-05
0.29,0.000132882554611
0.3,0.000184952280305
0.31,0.000473966756183
0.32,0.000556560692005
0.33,0.000735673053257
0.34,0.00148018234715
0.35,0.00179687541072
0.36,0.00346465173239
0.37,0.00399812013394
0.38,0.00727114823877
0.39,0.00815444810958
0.4,0.0139603807576
0.41,0.0154094018376
0.42,0.0249264442261
0.43,0.0272619881807
0.44,0.0418995561269
0.45,0.0646496427765
0.46,0.0668952973587
0.47,0.0983150613503
0.48,0.102090030188
0.49,0.143844595684
0.5,0.200488422066
0.51,0.203191758526
0.52,0.273116349487
0.53,0.277802373482
0.54,0.361690511924
0.55,0.463595666948
0.56,0.466173896276
0.57,0.581524081702
0.58,0.58531609966
0.59,0.712613927814
0.6,0.852624770834
0.61,0.853548304117
0.62,1.0
0.63,1.0
0.64,1.0
0.65,0.849782682772
0.66,0.847440131241
0.67,0.699274331352
0.68,0.562896314188
0.69,0.554242516515
0.7,0.429152595893
0.71,0.420311781704
0.72,0.310349173667
0.73,0.223993733605
0.74,0.210411726298
0.75,0.143177448416
0.76,0.131543323755
0.77,0.0834229694401
0.78,0.0740010264001
0.79,0.0433254814675
0.8,0.0361387456693
0.81,0.0196485364141
0.82,0.0146453337706
0.83,0.011583927899
0.84,0.00491381212663
0.85,0.00294236441042
0.86,0.00167507988538
0.87,0.000900074366088
0.88,0.000452386516805
0.89,0.000210276620813
0.9,8.9077873823e-05
0.91,3.37350383154e-05
0.92,1.11274509329e-05
0.93,3.08197132542e-06
0.94,6.79382612985e-07
0.95,1.09693768351e-07
0.96,1.12875228231e-08
0.97,5.7025638299e-10
0.98,7.87481168136e-12
0.99,4.58633793733e-15
1.0,0.0
