p,p-value
0.0,0.0
0.01,0.000859432882031
0.02,0.00609834122768
0.03,0.0182574275338
0.04,0.0383953125779
0.05,0.0665463516232
0.06,0.102071404336
0.07,0.143922391543
0.08,0.190837967529
0.09,0.241484650073
0.1,0.429640385871
0.11,0.458081161669
0.12,0.491376590366
0.13,0.729161681059
0.14,0.741936933912
0.15,1.0
0.16,1.0
0.17,1.0
0.18,1.0
0.19,1.0
0.2,1.0
0.21,0.78038231128
0.22,0.781478822509
0.23,0.592133420622
0.24,0.591792722951
0.25,0.43796902262
0.26,0.435236928184
0.27,0.437113372176
0.28,0.311405507983
0.29,0.311036287071
0.3,0.21708615776
0.31,0.214698027893
0.32,0.147692517857
0.33,0.143917440681
0.34,0.143578745848
0.35,0.0938334165424
0.36,0.0920992319532
0.37,0.0596545190257
0.38,0.0572070135032
0.39,0.0567237988533
0.4,0.0345222644669
0.41,0.0332978839835
0.42,0.0203526610255
0.43,0.0189061308386
0.44,0.0183415581522
0.45,0.0104758269643
0.46,0.00968756108058
0.47,0.00942726856169
0.48,0.00499979369078
0.49,0.00456742758628
0.5,0.00442504882813
0.51,0.00217942476965
0.52,0.00193711817003
0.53,0.00183817330073
0.54,0.000856003535204
0.55,0.000720902548494
0.56,0.000648305137613
0.57,0.00030363225252
0.58,0.000233795917211
0.59,0.000187972301817
0.6,0.000162218174788
0.61,7.06309832821e-05
0.62,4.87088892443e-05
0.63,3.31998438388e-05
0.64,2.23523059373e-05
0.65,1.48555296968e-05
0.66,9.73933577936e-06
0.67,6.29381061033e-06
0.68,4.00569001463e-06
0.69,2.50854005068e-06
0.7,1.54420641309e-06
0.71,9.33351720221e-07
0.72,5.53228017845e-07
0.73,3.21133535477e-07
0.74,1.82274246679e-07
0.75,1.00990291685e-07
0.76,5.45146529066e-08
0.77,2.86077278126e-08
0.78,1.45586328903e-08
0.79,7.16482337676e-09
0.8,3.3989066752e-09
0.81,1.54848462196e-09
0.82,6.7457557163e-10
0.83,2.79582192772e-10
0.84,1.09582526041e-10
0.85,4.03291077269e-11
0.86,1.38162236972e-11
0.87,4.35978864944e-12
0.88,1.25070420629e-12
0.89,3.20830343541e-13
0.9,7.20424e-14
0.91,1.37697103045e-14
0.92,2.15677332112e-15
0.93,2.62494194345e-16
0.94,2.29628795317e-17
0.95,1.27953796387e-18
0.96,3.70931490137e-20
0.97,3.82781588383e-22
0.98,5.99855642706e-25
0.99,9.41897584e-30
1.0,0.0
