date,from state,to state
4/20/20130:00,DOWN,UP
4/24/20130:00,DOWN,DOWN
4/25/20130:00,DOWN,DOWN
4/26/20130:00,DOWN,UP
4/29/20130:00,DOWN,DOWN
4/30/20130:00,DOWN,DOWN
5/1/20130:00,DOWN,DOWN
5/2/20130:00,DOWN,UP
5/5/20130:00,DOWN,DOWN
5/6/20130:00,DOWN,UP
5/8/20130:00,DOWN,UP
5/10/20130:00,DOWN,DOWN
5/11/20130:00,DOWN,UP
5/13/20130:00,DOWN,UP
5/17/20130:00,DOWN,DOWN
5/18/20130:00,DOWN,DOWN
5/19/20130:00,DOWN,UP
5/24/20130:00,DOWN,UP
5/26/20130:00,DOWN,DOWN
5/27/20130:00,DOWN,UP
5/29/20130:00,DOWN,UP
6/1/20130:00,DOWN,DOWN
6/2/20130:00,DOWN,UP
6/5/20130:00,DOWN,DOWN
6/6/20130:00,DOWN,DOWN
6/7/20130:00,DOWN,DOWN
6/8/20130:00,DOWN,UP
6/11/20130:00,DOWN,DOWN
6/12/20130:00,DOWN,DOWN
6/13/20130:00,DOWN,DOWN
