date,from state,to state
7/18/2013 0:00, DOWN, DOWN
7/19/2013 0:00, DOWN, DOWN
7/20/2013 0:00, DOWN, DOWN
7/21/2013 0:00, DOWN, DOWN
7/22/2013 0:00, DOWN, DOWN
7/23/2013 0:00, DOWN, UP
7/25/2013 0:00, DOWN, DOWN
7/26/2013 0:00, DOWN, UP
7/28/2013 0:00, DOWN, UP
7/30/2013 0:00, DOWN, DOWN
7/31/2013 0:00, DOWN, DOWN
8/1/2013 0:00, DOWN, DOWN
8/2/2013 0:00, DOWN, DOWN
8/3/2013 0:00, DOWN, DOWN
8/4/2013 0:00, DOWN, DOWN
8/5/2013 0:00, DOWN, DOWN
8/6/2013 0:00, DOWN, DOWN
8/7/2013 0:00, DOWN, DOWN
8/8/2013 0:00, DOWN, DOWN
8/9/2013 0:00, DOWN, DOWN
8/10/2013 0:00, DOWN, DOWN
8/11/2013 0:00, DOWN, UP
8/13/2013 0:00, DOWN, DOWN
8/14/2013 0:00, DOWN, DOWN
8/15/2013 0:00, DOWN, DOWN
8/16/2013 0:00, DOWN, DOWN
8/17/2013 0:00, DOWN, UP
8/21/2013 0:00, DOWN, DOWN
8/22/2013 0:00, DOWN, DOWN
8/23/2013 0:00, DOWN, UP
