date,from state,to state
10/5/2015 0:00, UP, DOWN
10/15/2015 0:00, UP, UP
10/16/2015 0:00, UP, DOWN
10/19/2015 0:00, UP, DOWN
10/21/2015 0:00, UP, DOWN
10/26/2015 0:00, UP, UP
10/27/2015 0:00, UP, UP
10/28/2015 0:00, UP, UP
10/29/2015 0:00, UP, DOWN
10/31/2015 0:00, UP, UP
11/1/2015 0:00, UP, UP
11/2/2015 0:00, UP, UP
11/3/2015 0:00, UP, DOWN
11/6/2015 0:00, UP, DOWN
11/11/2015 0:00, UP, DOWN
11/15/2015 0:00, UP, DOWN
11/24/2015 0:00, UP, UP
11/25/2015 0:00, UP, DOWN
11/28/2015 0:00, UP, DOWN
12/4/2015 0:00, UP, DOWN
12/7/2015 0:00, UP, DOWN
12/10/2015 0:00, UP, DOWN
12/13/2015 0:00, UP, UP
12/14/2015 0:00, UP, DOWN
12/23/2015 0:00, UP, DOWN
12/28/2015 0:00, UP, DOWN
1/6/2016 0:00, UP, DOWN
1/15/2016 0:00, UP, DOWN
1/19/2016 0:00, UP, DOWN
1/23/2016 0:00, UP, DOWN
2/3/2016 0:00, UP, DOWN
2/12/2016 0:00, UP, UP
2/13/2016 0:00, UP, DOWN
2/16/2016 0:00, UP, DOWN
2/19/2016 0:00, UP, DOWN
2/25/2016 0:00, UP, DOWN
3/6/2016 0:00, UP, DOWN
3/26/2016 0:00, UP, DOWN
4/20/2016 0:00, UP, DOWN
5/5/2016 0:00, UP, DOWN
5/26/2016 0:00, UP, UP
5/27/2016 0:00, UP, DOWN
6/2/2016 0:00, UP, DOWN
6/10/2016 0:00, UP, UP
6/11/2016 0:00, UP, UP
6/12/2016 0:00, UP, DOWN
6/15/2016 0:00, UP, DOWN
6/22/2016 0:00, UP, UP
6/23/2016 0:00, UP, DOWN
6/26/2016 0:00, UP, DOWN
6/29/2016 0:00, UP, DOWN
7/1/2016 0:00, UP, DOWN
7/3/2016 0:00, UP, DOWN
7/7/2016 0:00, UP, DOWN
7/11/2016 0:00, UP, DOWN
7/16/2016 0:00, UP, DOWN
8/2/2016 0:00, UP, UP
8/3/2016 0:00, UP, DOWN
